"id","date","ags","inspid1km","x","y"
1,"2024-12-13","09774135","CRS3035RES1000mN2814000E4342000",4342500,2814500
2,"2024-12-13","12064380","CRS3035RES1000mN3276000E4578000",4578500,3276500
3,"2024-12-13","03153018","CRS3035RES1000mN3189000E4344000",4344500,3189500
4,"2024-12-13","09577177","CRS3035RES1000mN2880000E4392000",4392500,2880500
5,"2024-12-13","09177115","CRS3035RES1000mN2801000E4480000",4480500,2801500
6,"2024-12-13","07315000","CRS3035RES1000mN2989000E4193000",4193500,2989500
7,"2024-12-13","09277148","CRS3035RES1000mN2806000E4534000",4534500,2806500
8,"2024-12-13","01056044","CRS3035RES1000mN3388000E4310000",4310500,3388500
9,"2024-12-13","14713000","CRS3035RES1000mN3136000E4481000",4481500,3136500
10,"2024-12-13","09663000","CRS3035RES1000mN2965000E4314000",4314500,2965500
11,"2024-12-13","16067092","CRS3035RES1000mN3079000E4368000",4368500,3079500
12,"2024-12-13","02000000","CRS3035RES1000mN3386000E4317000",4317500,3386500
13,"2024-12-13","03153002","CRS3035RES1000mN3197000E4358000",4358500,3197500
14,"2024-12-13","09273147","CRS3035RES1000mN2835000E4454000",4454500,2835500
15,"2024-12-13","03358019","CRS3035RES1000mN3330000E4311000",4311500,3330500
16,"2024-12-13","09162000","CRS3035RES1000mN2778000E4448000",4448500,2778500
17,"2024-12-13","03456001","CRS3035RES1000mN3252000E4122000",4122500,3252500
18,"2024-12-13","05915000","CRS3035RES1000mN3171000E4167000",4167500,3171500
19,"2024-12-13","08327054","CRS3035RES1000mN2766000E4229000",4229500,2766500
20,"2024-12-13","05170024","CRS3035RES1000mN3155000E4088000",4088500,3155500
21,"2024-12-13","09171112","CRS3035RES1000mN2788000E4532000",4532500,2788500
22,"2024-12-13","08415061","CRS3035RES1000mN2823000E4263000",4263500,2823500
23,"2024-12-13","07137229","CRS3035RES1000mN3036000E4150000",4150500,3036500
24,"2024-12-13","09161000","CRS3035RES1000mN2852000E4427000",4427500,2852500
25,"2024-12-13","13071026","CRS3035RES1000mN3384000E4549000",4549500,3384500
26,"2024-12-13","08117012","CRS3035RES1000mN2836000E4292000",4292500,2836500
27,"2024-12-13","16076092","CRS3035RES1000mN3067000E4455000",4455500,3067500
28,"2024-12-13","08337126","CRS3035RES1000mN2725000E4191000",4191500,2725500
29,"2024-12-13","09187114","CRS3035RES1000mN2742000E4495000",4495500,2742500
30,"2024-12-13","09572132","CRS3035RES1000mN2940000E4384000",4384500,2940500
31,"2024-12-13","04011000","CRS3035RES1000mN3332000E4237000",4237500,3332500
32,"2024-12-13","05119000","CRS3035RES1000mN3160000E4102000",4102500,3160500
33,"2024-12-13","03456001","CRS3035RES1000mN3246000E4123000",4123500,3246500
34,"2024-12-13","01003000","CRS3035RES1000mN3416000E4364000",4364500,3416500
35,"2024-12-13","02000000","CRS3035RES1000mN3382000E4322000",4322500,3382500
36,"2024-12-13","09187130","CRS3035RES1000mN2756000E4457000",4457500,2756500
37,"2024-12-13","05170008","CRS3035RES1000mN3168000E4096000",4096500,3168500
38,"2024-12-13","03358019","CRS3035RES1000mN3342000E4303000",4303500,3342500
39,"2024-12-13","09273111","CRS3035RES1000mN2858000E4458000",4458500,2858500
40,"2024-12-13","06436002","CRS3035RES1000mN3004000E4202000",4202500,3004500
41,"2024-12-13","09162000","CRS3035RES1000mN2780000E4435000",4435500,2780500
42,"2024-12-13","09780125","CRS3035RES1000mN2742000E4342000",4342500,2742500
43,"2024-12-13","13073084","CRS3035RES1000mN3480000E4561000",4561500,3480500
44,"2024-12-13","08337126","CRS3035RES1000mN2727000E4189000",4189500,2727500
45,"2024-12-13","02000000","CRS3035RES1000mN3394000E4326000",4326500,3394500
46,"2024-12-13","05112000","CRS3035RES1000mN3163000E4094000",4094500,3163500
47,"2024-12-13","06531016","CRS3035RES1000mN3054000E4240000",4240500,3054500
48,"2024-12-13","15081240","CRS3035RES1000mN3284000E4414000",4414500,3284500
49,"2024-12-13","03356005","CRS3035RES1000mN3340000E4249000",4249500,3340500
50,"2024-12-13","11000000","CRS3035RES1000mN3269000E4561000",4561500,3269500
51,"2024-12-13","08425141","CRS3035RES1000mN2811000E4315000",4315500,2811500
52,"2024-12-13","09479136","CRS3035RES1000mN2990000E4471000",4471500,2990500
53,"2024-12-13","07335034","CRS3035RES1000mN2933000E4156000",4156500,2933500
54,"2024-12-13","16061117","CRS3035RES1000mN3161000E4350000",4350500,3161500
55,"2024-12-13","08222000","CRS3035RES1000mN2932000E4209000",4209500,2932500
56,"2024-12-13","05954016","CRS3035RES1000mN3145000E4125000",4125500,3145500
57,"2024-12-13","14626600","CRS3035RES1000mN3165000E4643000",4643500,3165500
58,"2024-12-13","06531013","CRS3035RES1000mN3066000E4225000",4225500,3066500
59,"2024-12-13","09779131","CRS3035RES1000mN2846000E4379000",4379500,2846500
60,"2024-12-13","14521570","CRS3035RES1000mN3065000E4564000",4564500,3065500
61,"2024-12-13","16077043","CRS3035RES1000mN3087000E4482000",4482500,3087500
62,"2024-12-13","12064512","CRS3035RES1000mN3299000E4605000",4605500,3299500
63,"2024-12-13","09276139","CRS3035RES1000mN2873000E4557000",4557500,2873500
64,"2024-12-13","16071003","CRS3035RES1000mN3088000E4411000",4411500,3088500
65,"2024-12-13","05111000","CRS3035RES1000mN3129000E4098000",4098500,3129500
66,"2024-12-13","05170028","CRS3035RES1000mN3155000E4083000",4083500,3155500
67,"2024-12-13","14522170","CRS3035RES1000mN3081000E4567000",4567500,3081500
68,"2024-12-13","09573122","CRS3035RES1000mN2924000E4391000",4391500,2924500
69,"2024-12-13","09374111","CRS3035RES1000mN2957000E4476000",4476500,2957500
70,"2024-12-13","09186137","CRS3035RES1000mN2845000E4427000",4427500,2845500
71,"2024-12-13","06431021","CRS3035RES1000mN2943000E4238000",4238500,2943500
72,"2024-12-13","03158035","CRS3035RES1000mN3217000E4374000",4374500,3217500
73,"2024-12-13","09187114","CRS3035RES1000mN2743000E4495000",4495500,2743500
74,"2024-12-13","03453012","CRS3035RES1000mN3307000E4181000",4181500,3307500
75,"2024-12-13","05162024","CRS3035RES1000mN3120000E4092000",4092500,3120500
76,"2024-12-13","16053000","CRS3035RES1000mN3091000E4433000",4433500,3091500
77,"2024-12-13","05570052","CRS3035RES1000mN3205000E4182000",4182500,3205500
78,"2024-12-13","09571141","CRS3035RES1000mN2885000E4360000",4360500,2885500
79,"2024-12-13","13076128","CRS3035RES1000mN3401000E4441000",4441500,3401500
80,"2024-12-13","03456001","CRS3035RES1000mN3247000E4128000",4128500,3247500
81,"2024-12-13","14626600","CRS3035RES1000mN3165000E4643000",4643500,3165500
82,"2024-12-13","09173126","CRS3035RES1000mN2754000E4427000",4427500,2754500
83,"2024-12-13","05111000","CRS3035RES1000mN3132000E4097000",4097500,3132500
84,"2024-12-13","15082340","CRS3035RES1000mN3169000E4478000",4478500,3169500
85,"2024-12-13","07235058","CRS3035RES1000mN2951000E4091000",4091500,2951500
86,"2024-12-13","05913000","CRS3035RES1000mN3158000E4145000",4145500,3158500
87,"2024-12-13","09271119","CRS3035RES1000mN2862000E4537000",4537500,2862500
88,"2024-12-13","05382020","CRS3035RES1000mN3077000E4129000",4129500,3077500
89,"2024-12-13","05382004","CRS3035RES1000mN3071000E4110000",4110500,3071500
90,"2024-12-13","02000000","CRS3035RES1000mN3392000E4324000",4324500,3392500
91,"2024-12-13","08327057","CRS3035RES1000mN2758000E4235000",4235500,2758500
92,"2024-12-13","14713000","CRS3035RES1000mN3136000E4484000",4484500,3136500
93,"2024-12-13","08119008","CRS3035RES1000mN2867000E4279000",4279500,2867500
94,"2024-12-13","08317141","CRS3035RES1000mN2830000E4166000",4166500,2830500
95,"2024-12-13","06435005","CRS3035RES1000mN3021000E4270000",4270500,3021500
96,"2024-12-13","08119067","CRS3035RES1000mN2855000E4286000",4286500,2855500
97,"2024-12-13","12067508","CRS3035RES1000mN3240000E4639000",4639500,3240500
98,"2024-12-13","08236043","CRS3035RES1000mN2860000E4216000",4216500,2860500
99,"2024-12-13","06411000","CRS3035RES1000mN2974000E4223000",4223500,2974500
100,"2024-12-13","09179111","CRS3035RES1000mN2785000E4404000",4404500,2785500
101,"2024-12-13","03359007","CRS3035RES1000mN3376000E4293000",4293500,3376500
102,"2024-12-13","16071102","CRS3035RES1000mN3104000E4409000",4409500,3104500
103,"2024-12-13","01060058","CRS3035RES1000mN3409000E4329000",4329500,3409500
104,"2024-12-13","08125110","CRS3035RES1000mN2893000E4272000",4272500,2893500
105,"2024-12-13","05158020","CRS3035RES1000mN3114000E4107000",4107500,3114500
106,"2024-12-13","01058137","CRS3035RES1000mN3492000E4309000",4309500,3492500
107,"2024-12-13","05111000","CRS3035RES1000mN3139000E4093000",4093500,3139500
108,"2024-12-13","03455026","CRS3035RES1000mN3368000E4195000",4195500,3368500
109,"2024-12-13","08231000","CRS3035RES1000mN2864000E4225000",4225500,2864500
110,"2024-12-13","09187130","CRS3035RES1000mN2756000E4458000",4458500,2756500
111,"2024-12-13","15084235","CRS3035RES1000mN3117000E4468000",4468500,3117500
